# {'date': u'2021_apr_27_1130', 'frameRate': 99.783832205235811, 'expName': u'FTRNGT_sleep', u'session': u'day1', u'participant': u'15'}
subj,trial,time,stimulus,response
15,1,0.0101633577,stimulus,
15,1,0.5067428849,tap,rctrl
15,2,0.7602071668,stimulus,
15,2,1.0667147650,tap,rctrl
15,3,1.5102572676,stimulus,
15,3,1.5947163173,tap,rctrl
15,4,2.2602916963,stimulus,
15,4,2.3386968091,tap,rctrl
15,5,3.0103414031,stimulus,
15,5,3.1066418491,tap,rctrl
15,5,3.7386446052,tap,lctrl
15,6,3.7603676064,stimulus,
15,7,4.5104648133,stimulus,
15,7,4.6266483684,tap,rctrl
15,8,5.2605077112,stimulus,
15,8,5.4026088330,tap,rctrl
15,9,6.0105553398,stimulus,
15,9,6.0905929548,tap,lctrl
15,10,6.7606175486,stimulus,
15,10,6.8345671699,tap,lctrl
15,11,7.5106890115,stimulus,
15,11,7.6025884255,tap,rctrl
15,12,8.2607278072,stimulus,
15,12,8.3705444699,tap,rctrl
15,13,9.0107921754,stimulus,
15,13,9.1225791015,tap,lctrl
15,14,9.7608553527,stimulus,
15,14,9.8585682255,tap,rctrl
15,15,10.5108926867,stimulus,
15,15,10.6265427810,tap,rctrl
15,15,11.2265053696,tap,lctrl
15,16,11.2609072841,stimulus,
15,16,11.9945016692,tap,lctrl
15,17,12.0109588766,stimulus,
15,18,12.7610238884,stimulus,
15,18,12.7944714964,tap,lctrl
15,18,13.4425012159,tap,lctrl
15,19,13.5110443745,stimulus,
15,19,14.1064394130,tap,rctrl
15,20,14.2610839461,stimulus,
15,21,15.0111616224,stimulus,
15,21,15.1384681740,tap,rctrl
15,22,15.7611956963,stimulus,
15,22,15.9305202025,tap,rctrl
15,23,16.5112643773,stimulus,
15,23,16.5704181080,tap,lctrl
15,24,17.2613391694,stimulus,
15,24,17.2714645066,tap,rctrl
15,25,18.0113861995,stimulus,
15,25,18.1223822215,tap,lctrl
15,26,18.7614450250,stimulus,
15,26,18.9783580607,tap,lctrl
15,27,19.5114935588,stimulus,
15,27,19.6663310819,tap,lctrl
15,28,20.2615846215,stimulus,
15,28,20.3703389610,tap,lctrl
15,29,21.0116299734,stimulus,
15,29,21.0343176990,tap,rctrl
15,30,21.7616651510,stimulus,
15,30,21.7942972297,tap,rctrl
15,31,22.5117114804,stimulus,
15,31,22.5783261316,tap,lctrl
15,31,23.2583220075,tap,rctrl
15,32,23.2685008597,stimulus,
15,33,24.0185692309,stimulus,
15,33,24.1302877759,tap,rctrl
15,34,24.7686365555,stimulus,
15,34,24.8022727054,tap,lctrl
15,35,25.5186766895,stimulus,
15,35,25.6342729198,tap,lctrl
15,36,26.2687117949,stimulus,
15,36,26.4582294394,tap,lctrl
15,37,27.0187375531,stimulus,
15,37,27.2021984696,tap,rctrl
15,38,27.7687904809,stimulus,
15,38,27.8982461747,tap,rctrl
15,39,28.5188522296,stimulus,
15,39,28.6021811495,tap,rctrl
15,39,29.2341701044,tap,lctrl
15,40,29.2688791277,stimulus,
15,40,29.9781446263,tap,rctrl
15,41,30.0189405576,stimulus,
15,41,30.7221654664,tap,lctrl
15,42,30.7689818224,stimulus,
15,42,31.5061694092,tap,rctrl
15,43,31.5190393907,stimulus,
15,43,32.2661401640,tap,lctrl
15,44,32.2763086646,stimulus,
15,45,33.0263990024,stimulus,
15,45,33.1861137016,tap,rctrl
15,46,33.7764290853,stimulus,
15,46,33.9220494851,tap,rctrl
15,47,34.5264919589,stimulus,
15,47,34.7060572654,tap,rctrl
15,48,35.2765395905,stimulus,
15,48,35.4100631296,tap,rctrl
15,49,36.0265861153,stimulus,
15,49,36.1780457451,tap,rctrl
15,50,36.7766564203,stimulus,
15,50,36.9140157296,tap,rctrl
15,51,37.5266989633,stimulus,
15,51,37.5539862086,tap,lctrl
15,52,38.2767315184,stimulus,
15,52,38.3059917999,tap,lctrl
15,53,39.0267868101,stimulus,
15,53,39.1059777833,tap,lctrl
15,54,39.7768248478,stimulus,
15,54,39.8179531568,tap,lctrl
15,54,40.4739350896,tap,rctrl
15,55,40.5268636795,stimulus,
15,55,41.2419493618,tap,rctrl
15,56,41.2769686878,stimulus,
15,56,42.0099230180,tap,lctrl
15,57,42.0269822267,stimulus,
15,58,42.7770486941,stimulus,
15,58,42.8099258403,tap,lctrl
15,59,43.5270935438,stimulus,
15,59,43.5619029899,tap,lctrl
15,60,44.2771407333,stimulus,
15,60,44.3378735655,tap,lctrl
15,61,45.0271789786,stimulus,
15,61,45.1458721134,tap,lctrl
15,62,45.7772805884,stimulus,
15,62,45.9138805751,tap,lctrl
15,63,46.5273253750,stimulus,
15,63,46.5938787668,tap,lctrl
15,64,47.2773650428,stimulus,
15,64,47.4018388700,tap,lctrl
15,65,48.0274156999,stimulus,
15,65,48.1378349985,tap,rctrl
15,66,48.7774482791,stimulus,
15,66,48.8418139397,tap,rctrl
15,67,49.5275264607,stimulus,
15,67,49.5697835160,tap,lctrl
15,68,50.2775732923,stimulus,
15,68,50.3217796729,tap,rctrl
15,69,51.0276185630,stimulus,
15,69,51.0577667248,tap,lctrl
15,69,51.5617464785,tap,rctrl
15,70,51.7776510881,stimulus,
15,71,52.5277081541,stimulus,
15,71,52.7457273590,tap,rctrl
15,72,53.2777688111,stimulus,
15,72,53.4817082817,tap,rctrl
15,73,54.0278115917,stimulus,
15,73,54.2497054113,tap,rctrl
15,74,54.7778545948,stimulus,
15,74,55.0016662363,tap,rctrl
15,75,55.5279419943,stimulus,
15,75,55.7136578321,tap,rctrl
15,75,56.2736357271,tap,lctrl
15,76,56.2838112381,stimulus,
15,77,57.0338756304,stimulus,
15,77,57.1216616688,tap,rctrl
15,78,57.7839271657,stimulus,
15,78,57.8016280353,tap,lctrl
15,79,64.8279077898,probe1,3
15,79,73.6069282127,probe2,1
15,79,82.7960888981,probe3,2
15,80,83.5698684223,stimulus,
15,80,83.9051565999,tap,rctrl
